L1        FE3F
L2        FE4C
L3        FE56
L4        FE62
L5        FE6E
L6        FE8A
addrD     FCF2
addrErr   FC96
addrI     FCE8
addrJT    FCD8
addrMask  FC0F
addrN     FCFF
addrS     FD0F
addrSF    FD1F
addrSFX   FD55
addrSX    FD42
addrX     FD32
asciiCh   000A
assertAd  FC7C
byteTemp  FC0E
charIn    FC13
charOut   FC15
checkOut  FF68
checkZ    FE9F
combine   FC3F
deciErr   FEBE
deciMsg   FED1
deciNorm  FE74
digit     0002
divLoop   FF4A
divide    FF44
do        FD92
exitDeci  FEB4
exitPrnt  FFF3
getChar   FC1A
hexOut    FFA9
ifDigit   FDD8
ifMinus   FDC3
ifWhite   FDF9
init      0000
isNeg     0004
isOvfl    0006
loader    FC17
loop      FC88
msgAddr   0002
nonUnJT   FC72
nonUnary  FC67
oldIR     0009
oldIR4    000D
oldNZVC   000F
oldPC4    0009
oldSP4    000B
oldX4     0007
opAddr    FC11
opcode26  FD6B
opcode27  FD6C
opcode28  FD6D
opcode30  FD77
opcode38  FEEB
opcode40  FF76
opcode48  FFC2
osRAM     FB8D
outYet    0002
outYet2   0004
ovfl1     FE3C
ovfl2     FE49
ovfl3     FE53
ovfl4     FE5F
ovfl5     FE6B
place     0004
place2    0006
prepNum   FFBB
printDgt  FF6F
printMag  FF0A
prntMore  FFE4
prntMsg   FFDE
remain    0000
remain2   0002
return    FC71
sDigit    FE23
sInit     FDAE
sSign     FE08
setAddr   FCCE
setNZ     FE90
setV      FEA8
shift     FC2C
sign      0001
state     0002
stateJT   FDA8
stopLoad  FC51
storeFl   FEB1
temp      0000
testAd    FC8F
total     000B
trap      FC52
trapMsg   FCA9
unary     FC5B
unaryJT   FC63
valAscii  0008
wordTemp  FC0D
writeHex  FFBE
writeNum  FF59
